MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1.7727,19.0,4.431952662721893,1.4082840236686391,476.0,2.8165680473372783,33.36,-115.73,0.5
0.4999,28.0,7.67741935483871,1.8709677419354838,142.0,4.580645161290323,34.15,-118.08,5.00001
4.5417,4.0,5.735632183908046,0.9832007073386384,2958.0,2.6153846153846154,38.48,-122.75,1.974
2.9781,35.0,5.565537555228277,1.0471281296023565,2493.0,3.6715758468335786,38.0,-122.33,1.09
4.0417,14.0,3.6955903271692745,1.0796586059743956,1584.0,2.2532005689900427,33.65,-117.91,1.809
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598
10.3661,52.0,8.03370786516854,1.0449438202247192,547.0,3.0730337078651684,34.08,-118.34,5.00001
2.5559,29.0,4.440476190476191,1.0376984126984128,2061.0,4.089285714285714,32.71,-117.09,0.968
4.6875,26.0,6.359073359073359,1.0077220077220077,694.0,2.6795366795366795,32.85,-117.22,2.744
2.3224,18.0,3.7112375533428166,1.0256045519203414,2221.0,3.159317211948791,34.06,-118.11,1.923
2.683,15.0,6.365714285714286,1.3485714285714285,653.0,1.8657142857142857,33.83,-116.98,1.393
4.6908,37.0,5.979949874686716,1.0250626566416041,1101.0,2.7593984962406015,33.85,-118.12,2.182
3.4375,21.0,4.80065717415115,0.9868565169769989,2689.0,2.945235487404162,33.82,-118.29,2.188
3.4211,34.0,4.882716049382716,1.058641975308642,1356.0,4.185185185185185,33.91,-118.09,1.411
3.9423,39.0,5.5096525096525095,1.1833976833976834,1338.0,2.583011583011583,37.15,-122.13,1.803
5.6874,16.0,7.757009345794392,1.102803738317757,733.0,3.425233644859813,33.16,-117.14,2.027
6.1985,38.0,6.773006134969325,1.3251533742331287,415.0,2.5460122699386503,33.96,-118.43,4.22
3.05,34.0,4.499207606973059,1.0443740095087164,1822.0,2.8874801901743266,34.09,-117.64,1.213
7.2379,15.0,6.472222222222222,0.9409722222222222,1006.0,3.4930555555555554,33.91,-117.6,2.51
3.4838,30.0,7.206060606060606,1.5454545454545454,446.0,2.703030303030303,37.8,-120.2,1.125
5.1305,9.0,4.736363636363636,1.009090909090909,491.0,4.463636363636364,32.69,-117.06,1.589
2.5833,30.0,4.546719681908549,1.0556660039761432,1796.0,3.570576540755467,34.1,-117.48,0.906
1.684,22.0,4.801255230125523,1.0627615062761506,1654.0,3.4602510460251046,36.28,-119.2,0.659
